CRS_ID,Measured_point_ID,X,Y,Z,Distance,Interval
3957,6308,710664.9433637903,6103621.72909753,0,1.6000000001567487,0.4
3957,6309,710664.7749192676,6103621.366293944,0,1.6000000001567487,0.4
3957,6310,710664.606474745,6103621.003490357,0,1.6000000001567487,0.4
3957,6311,710664.4380302223,6103620.640686771,0,1.6000000001567487,0.4
3957,6312,710664.2695856997,6103620.277883183,0,1.6000000001567487,0.4
3957,6313,710664.101141177,6103619.915079597,0,1.6000000001567487,0.4
3957,6314,710663.9326966543,6103619.55227601,0,1.6000000001567487,0.4
3957,6315,710663.7642521317,6103619.189472424,0,1.6000000001567487,0.4
3957,6316,710663.595807609,6103618.826668836,0,1.6000000001567487,0.4
3957,6317,710663.4273630864,6103618.46386525,0,1.6000000001567487,0.4
3957,6318,710663.2589185637,6103618.101061663,0,1.6000000001567487,0.4
3957,6319,710663.0904740411,6103617.738258077,0,1.6000000001567487,0.4
3957,6320,710662.9220295184,6103617.375454489,0,1.6000000001567487,0.4
3957,6321,710662.7535849957,6103617.012650903,0,1.6000000001567487,0.4
3957,6322,710662.5851404731,6103616.649847316,0,1.6000000001567487,0.4
3957,6323,710662.4166959504,6103616.28704373,0,1.6000000001567487,0.4
3957,6324,710662.2482514278,6103615.924240142,0,1.6000000001567487,0.4
3957,6325,710662.0798069051,6103615.561436556,0,1.6000000001567487,0.4
3957,6326,710661.9113623825,6103615.198632969,0,1.6000000001567487,0.4
3957,6327,710661.7429178598,6103614.835829383,0,1.6000000001567487,0.4
3957,6328,710661.5744733372,6103614.473025795,0,1.6000000001567487,0.4
3957,6329,710661.4060288145,6103614.110222209,0,1.6000000001567487,0.4
3957,6330,710661.2375842918,6103613.747418622,0,1.6000000001567487,0.4
3957,6331,710661.0691397692,6103613.384615036,0,1.6000000001567487,0.4
3957,6332,710660.9006952465,6103613.021811448,0,1.6000000001567487,0.4
3957,6333,710660.7322507239,6103612.659007862,0,1.6000000001567487,0.4
3957,6334,710660.5638062012,6103612.2962042745,0,1.6000000001567487,0.4
3957,6335,710660.3953616786,6103611.933400689,0,1.6000000001567487,0.4
3957,6336,710660.2269171559,6103611.570597101,0,1.6000000001567487,0.4
3957,6337,710660.0584726332,6103611.207793515,0,1.6000000001567487,0.4
3957,6338,710659.8900281106,6103610.8449899275,0,1.6000000001567487,0.4
3957,6339,710659.7215835879,6103610.482186342,0,1.6000000001567487,0.4
3957,6340,710659.5531390653,6103610.119382754,0,1.6000000001567487,0.4
3957,6341,710659.3846945426,6103609.756579168,0,1.6000000001567487,0.4
3957,6342,710659.21625002,6103609.39377558,0,1.6000000001567487,0.4
3957,6343,710659.0478054973,6103609.030971995,0,1.6000000001567487,0.4
3957,6344,710658.8793609746,6103608.668168407,0,1.6000000001567487,0.4
3957,6345,710658.710916452,6103608.305364821,0,1.6000000001567487,0.4
3957,6346,710658.5424719293,6103607.942561233,0,1.6000000001567487,0.4
3957,6347,710658.3740274067,6103607.579757648,0,1.6000000001567487,0.4
3957,6348,710658.205582884,6103607.21695406,0,1.6000000001567487,0.4
3957,6349,710658.0371383614,6103606.854150474,0,1.6000000001567487,0.4
3957,6350,710657.8686938387,6103606.491346886,0,1.6000000001567487,0.4
3957,6351,710657.700249316,6103606.128543301,0,1.6000000001567487,0.4
3957,6352,710657.5318047934,6103605.765739713,0,1.6000000001567487,0.4
3957,6353,710657.3633602707,6103605.402936127,0,1.6000000001567487,0.4
3957,6354,710657.1949157481,6103605.040132539,0,1.6000000001567487,0.4
3957,6355,710657.0264712254,6103604.6773289535,0,1.6000000001567487,0.4
3957,6356,710656.8580267028,6103604.314525366,0,1.6000000001567487,0.4
3957,6357,710656.6895821801,6103603.95172178,0,1.6000000001567487,0.4
3957,6358,710656.5211376575,6103603.588918192,0,1.6000000001567487,0.4
3957,6359,710656.3526931348,6103603.2261146065,0,1.6000000001567487,0.4
3957,6360,710656.1842486121,6103602.863311019,0,1.6000000001567487,0.4
3957,6361,710656.0158040895,6103602.500507433,0,1.6000000001567487,0.4
3957,6362,710655.8473595668,6103602.137703845,0,1.6000000001567487,0.4
3957,6363,710655.6789150442,6103601.774900259,0,1.6000000001567487,0.4
3957,6364,710655.5104705215,6103601.412096672,0,1.6000000001567487,0.4
3957,6365,710655.3420259989,6103601.049293086,0,1.6000000001567487,0.4
3957,6366,710655.1735814762,6103600.686489498,0,1.6000000001567487,0.4
3957,6367,710655.0051369536,6103600.323685912,0,1.6000000001567487,0.4
3957,6368,710654.8366924309,6103599.960882325,0,1.6000000001567487,0.4
3957,6369,710654.6682479082,6103599.598078739,0,1.6000000001567487,0.4
3957,6370,710654.4998033856,6103599.235275151,0,1.6000000001567487,0.4
3957,6371,710654.3313588629,6103598.872471565,0,1.6000000001567487,0.4
3957,6372,710654.1629143403,6103598.509667978,0,1.6000000001567487,0.4
3957,6373,710653.9944698176,6103598.146864392,0,1.6000000001567487,0.4
3957,6374,710653.826025295,6103597.784060804,0,1.6000000001567487,0.4
3957,6375,710653.6575807723,6103597.421257218,0,1.6000000001567487,0.4
3957,6376,710653.4891362496,6103597.058453631,0,1.6000000001567487,0.4
3957,6377,710653.320691727,6103596.695650045,0,1.6000000001567487,0.4
3957,6378,710653.1522472043,6103596.332846457,0,1.6000000001567487,0.4
3957,6379,710652.9838026817,6103595.970042871,0,1.6000000001567487,0.4
3957,6380,710652.815358159,6103595.607239284,0,1.6000000001567487,0.4
